year,quarter,district,open_rate,close_rate
2019,2,1000978,99,44
2019,2,1000977,106,50
2019,2,1000976,99,52
2019,2,1000975,124,56
2019,2,1000974,103,47
2019,2,1000973,130,56
2019,2,1000972,89,45
2019,2,1000971,94,51
2019,2,1000970,100,46
2019,2,1000969,119,60
2019,2,1000968,95,51
2019,2,1000967,99,47
2019,2,1000966,127,52
2019,2,1000965,102,51
2019,2,1000964,97,43
2019,2,1000963,100,50
2019,2,1000962,102,50
2019,2,1000961,91,49
2019,2,1000960,104,46
2019,2,1000959,93,45
2019,2,1000958,81,44
2019,2,1000957,96,45
2019,2,1000956,99,47
2019,2,1000955,95,47
2019,2,1000954,102,46
2019,2,1000953,111,50
2019,2,1000952,105,49
2019,2,1000951,86,45
2019,2,1000950,86,46
2019,2,1000949,89,50
2019,2,1000948,101,48
2019,2,1000947,75,44
2019,2,1000946,100,51
2019,2,1000945,103,48
2019,2,1000944,100,48
2019,2,1000943,90,42
2019,2,1000942,120,52
2019,2,1000941,96,50
2019,2,1000940,112,54
2019,2,1000939,99,53
2019,2,1000938,84,46
2019,2,1000937,101,50
2019,2,1000936,81,48
2019,2,1000935,86,49
2019,2,1000934,94,51
2019,2,1000933,112,53
2019,2,1000932,93,49
2019,2,1000931,115,56
2019,2,1000930,84,45
2019,2,1000929,89,37
2019,2,1000928,120,58
2019,2,1000927,74,43
2019,2,1000926,79,45
2019,2,1000925,93,53
2019,2,1000924,95,45
2019,2,1000923,88,41
2019,2,1000922,82,45
2019,2,1000921,101,46
2019,2,1000920,90,44
2019,2,1000919,87,50
2019,2,1000918,86,52
2019,2,1000917,93,49
2019,2,1000916,100,42
2019,2,1000915,93,40
2019,2,1000914,92,48
2019,2,1000913,85,46
2019,2,1000912,95,51
2019,2,1000911,77,48
2019,2,1000910,87,48
2019,2,1000909,79,54
2019,2,1000908,76,43
2019,2,1000907,95,48
2019,2,1000906,79,49
2019,2,1000905,68,44
2019,2,1000904,98,45
2019,2,1000903,119,47
2019,2,1000902,99,48
2019,2,1000901,94,49
2019,2,1000900,101,51
2019,2,1000899,86,44
2019,2,1000898,86,53
2019,2,1000897,89,42
2019,2,1000896,88,49
2019,2,1000895,97,45
2019,2,1000894,93,43
2019,2,1000893,94,49
2019,2,1000892,120,50
2019,2,1000891,109,49
2019,2,1000890,113,47
2019,2,1000889,106,46
2019,2,1000888,109,45
2019,2,1000887,93,56
2019,2,1000886,87,41
2019,2,1000885,117,46
2019,2,1000884,95,47
2019,2,1000883,90,44
2019,2,1000882,111,54
2019,2,1000881,93,46
2019,2,1000880,96,46
2019,2,1000879,88,48
2019,2,1000878,98,50
2019,2,1000877,95,46
2019,2,1000876,105,47
2019,2,1000875,106,49
2019,2,1000874,142,71
2019,2,1000873,109,51
2019,2,1000872,92,52
2019,2,1000871,110,55
2019,2,1000870,109,53
2019,2,1000869,128,53
2019,2,1000868,109,40
2019,2,1000867,118,56
2019,2,1000866,103,50
2019,2,1000865,104,46
2019,2,1000864,94,53
2019,2,1000863,117,48
2019,2,1000862,97,54
2019,2,1000861,116,47
2019,2,1000860,103,42
2019,2,1000859,99,52
2019,2,1000858,96,51
2019,2,1000857,97,47
2019,2,1000856,125,50
2019,2,1000855,83,47
2019,2,1000854,112,55
2019,2,1000853,128,51
2019,2,1000852,100,49
2019,2,1000851,114,51
2019,2,1000850,111,47
2019,2,1000849,115,48
2019,2,1000848,121,52
2019,2,1000847,97,46
2019,2,1000846,99,51
2019,2,1000845,101,48
2019,2,1000844,108,52
2019,2,1000843,173,70
2019,2,1000842,140,58
2019,2,1000841,116,77
2019,2,1000840,142,57
2019,2,1000839,86,46
2019,2,1000838,91,54
2019,2,1000837,98,48
2019,2,1000836,98,48
2019,2,1000835,113,56
2019,2,1000834,116,49
2019,2,1000833,110,49
2019,2,1000832,93,54
2019,2,1000831,121,47
2019,2,1000830,121,49
2019,2,1000829,119,49
2019,2,1000828,73,44
2019,2,1000827,109,47
2019,2,1000826,114,53
2019,2,1000825,97,46
2019,2,1000824,116,51
2019,2,1000823,94,50
2019,2,1000822,88,54
2019,2,1000821,99,49
2019,2,1000820,86,44
2019,2,1000819,160,59
2019,2,1000818,121,52
2019,2,1000817,118,52
2019,2,1000816,85,53
2019,2,1000815,93,51
2019,2,1000814,98,47
2019,2,1000813,82,56
2019,2,1000812,94,48
2019,2,1000811,108,46
2019,2,1000810,79,50
2019,2,1000809,107,50
2019,2,1000808,126,57
2019,2,1000807,121,54
2019,2,1000806,78,47
2019,2,1000805,124,91
2019,2,1000804,107,57
2019,2,1000803,95,49
2019,2,1000802,112,61
2019,2,1000801,112,56
2019,2,1000800,106,53
2019,2,1000799,71,52
2019,2,1000798,115,49
2019,2,1000797,101,49
2019,2,1000796,104,48
2019,2,1000795,110,53
2019,2,1000794,100,54
2019,2,1000793,106,51
2019,2,1000792,93,42
2019,2,1000791,124,60
2019,2,1000790,120,55
2019,2,1000789,132,56
2019,2,1000788,86,54
2019,2,1000787,139,53
2019,2,1000786,121,48
2019,2,1000785,97,55
2019,2,1000784,95,62
2019,2,1000783,94,50
2019,2,1000782,103,51
2019,2,1000781,83,48
2019,2,1000780,78,55
2019,2,1000779,88,50
2019,2,1000778,114,64
2019,2,1000777,101,56
2019,2,1000776,134,66
2019,2,1000775,150,63
2019,2,1000774,96,60
2019,2,1000773,116,51
2019,2,1000772,105,48
2019,2,1000771,95,45
2019,2,1000770,110,48
2019,2,1000769,82,52
2019,2,1000768,127,50
2019,2,1000767,100,59
2019,2,1000766,120,51
2019,2,1000765,138,59
2019,2,1000764,116,61
2019,2,1000763,93,64
2019,2,1000762,175,87
2019,2,1000761,80,52
2019,2,1000760,87,57
2019,2,1000759,90,52
2019,2,1000758,130,56
2019,2,1000757,110,50
2019,2,1000756,113,51
2019,2,1000755,88,45
2019,2,1000754,103,50
2019,2,1000753,134,49
2019,2,1000752,90,43
2019,2,1000751,106,58
2019,2,1000750,118,60
2019,2,1000749,115,52
2019,2,1000748,117,53
2019,2,1000747,95,47
2019,2,1000746,96,60
2019,2,1000745,97,52
2019,2,1000744,127,48
2019,2,1000743,97,51
2019,2,1000742,118,59
2019,2,1000741,97,51
2019,2,1000740,112,50
2019,2,1000739,104,47
2019,2,1000738,97,46
2019,2,1000737,110,52
2019,2,1000736,142,61
2019,2,1000735,114,55
2019,2,1000734,103,44
2019,2,1000733,117,50
2019,2,1000732,99,55
2019,2,1000731,123,53
2019,2,1000730,105,46
2019,2,1000729,99,58
2019,2,1000728,119,51
2019,2,1000727,145,44
2019,2,1000726,109,51
2019,2,1000725,136,59
2019,2,1000724,111,55
2019,2,1000723,138,48
2019,2,1000722,130,61
2019,2,1000721,133,72
2019,2,1000720,74,51
2019,2,1000719,102,48
2019,2,1000718,121,45
2019,2,1000717,105,54
2019,2,1000716,121,80
2019,2,1000715,96,54
2019,2,1000714,117,45
2019,2,1000713,92,61
2019,2,1000712,90,51
2019,2,1000711,132,51
2019,2,1000710,116,53
2019,2,1000709,157,56
2019,2,1000708,102,48
2019,2,1000707,78,45
2019,2,1000706,123,55
2019,2,1000705,135,54
2019,2,1000704,124,53
2019,2,1000703,108,53
2019,2,1000702,95,42
2019,2,1000701,151,48
2019,2,1000700,127,64
2019,2,1000699,88,54
2019,2,1000698,132,52
2019,2,1000697,119,42
2019,2,1000696,128,52
2019,2,1000695,118,49
2019,2,1000694,128,47
2019,2,1000693,79,42
2019,2,1000692,108,48
2019,2,1000691,106,50
2019,2,1000690,91,53
2019,2,1000689,87,48
2019,2,1000688,88,53
2019,2,1000687,147,63
2019,2,1000686,83,52
2019,2,1000685,100,77
2019,2,1000684,98,56
2019,2,1000683,111,50
2019,2,1000682,105,51
2019,2,1000681,128,56
2019,2,1000680,122,50
2019,2,1000679,102,51
2019,2,1000678,96,51
2019,2,1000677,114,60
2019,2,1000676,146,66
2019,2,1000675,97,48
2019,2,1000674,115,47
2019,2,1000673,114,50
2019,2,1000672,108,46
2019,2,1000671,89,47
2019,2,1000670,93,54
2019,2,1000669,105,51
2019,2,1000668,108,58
2019,2,1000667,108,43
2019,2,1000666,102,51
2019,2,1000665,121,52
2019,2,1000664,107,56
2019,2,1000663,114,53
2019,2,1000662,95,50
2019,2,1000661,103,46
2019,2,1000660,128,48
2019,2,1000659,96,45
2019,2,1000658,107,51
2019,2,1000657,112,62
2019,2,1000656,117,44
2019,2,1000655,112,49
2019,2,1000654,107,52
2019,2,1000653,99,48
2019,2,1000652,98,51
2019,2,1000651,107,61
2019,2,1000650,109,50
2019,2,1000649,146,66
2019,2,1000648,85,50
2019,2,1000647,117,60
2019,2,1000646,98,55
2019,2,1000645,87,47
2019,2,1000644,92,53
2019,2,1000643,66,50
2019,2,1000642,95,52
2019,2,1000641,117,53
2019,2,1000640,124,45
2019,2,1000639,108,51
2019,2,1000638,117,45
2019,2,1000637,113,54
2019,2,1000636,110,55
2019,2,1000635,117,52
2019,2,1000634,111,49
2019,2,1000633,113,48
2019,2,1000632,121,49
2019,2,1000631,110,49
2019,2,1000630,108,44
2019,2,1000629,125,51
2019,2,1000628,122,50
2019,2,1000627,103,44
2019,2,1000626,104,47
2019,2,1000625,105,56
2019,2,1000624,113,48
2019,2,1000623,88,58
2019,2,1000622,94,53
2019,2,1000621,114,52
2019,2,1000620,98,53
2019,2,1000619,113,47
2019,2,1000618,101,45
2019,2,1000617,110,56
2019,2,1000616,116,47
2019,2,1000615,105,53
2019,2,1000614,117,55
2019,2,1000613,118,56
2019,2,1000612,129,46
2019,2,1000611,124,61
2019,2,1000610,94,48
2019,2,1000609,101,55
2019,2,1000608,92,51
2019,2,1000607,84,54
2019,2,1000606,97,45
2019,2,1000605,98,50
2019,2,1000604,95,47
2019,2,1000603,93,47
2019,2,1000602,112,54
2019,2,1000601,114,59
2019,2,1000600,118,54
2019,2,1000599,115,50
2019,2,1000598,81,51
2019,2,1000597,112,58
2019,2,1000596,101,54
2019,2,1000595,121,52
2019,2,1000594,93,48
