year,quarter,district,income_avg,expand_avg
2019,2,1000330,3334978,10689489873
2019,2,1000329,2983348,8034245550
2019,2,1000328,3767160,6761993344
2019,2,1000327,2332829,9134388112
2019,2,1000326,2435674,5652784720
2019,2,1000325,2293150,1907507869
2019,2,1000324,2435011,7833137161
2019,2,1000323,2412085,7451255425
2019,2,1000322,2361545,8558079736
2019,2,1000321,2384994,6130428568
2019,2,1000320,2810979,4411984194
2019,2,1000319,2390167,6798966480
2019,2,1000318,2377517,5361301795
2019,2,1000317,2382803,7519408394
2019,2,1000316,2702805,7549638046
2019,2,1000315,2516500,9607070673
2019,2,1000314,2370401,4599058672
2019,2,1000313,3053900,5719714953
2019,2,1000312,3241736,8687603419
2019,2,1000311,2999976,7328829663
2019,2,1000310,3715812,4871675314
2019,2,1000309,3442781,5754667784
2019,2,1000308,2362054,4990512357
2019,2,1000307,3141312,4871061260
2019,2,1000306,3250660,4476053529
2019,2,1000305,3198286,7192008898
2019,2,1000304,3324317,4179313994
2019,2,1000303,3493923,6844022285
2019,2,1000302,3962372,7179231130
2019,2,1000301,3433396,7667980782
2019,2,1000300,3214609,9085937371
2019,2,1000299,2951551,1743401823
2019,2,1000298,3448181,11842475922
2019,2,1000297,3468696,6179246740
2019,2,1000296,2503574,5235197988
2019,2,1000295,2956379,4803914725
2019,2,1000294,2951341,6761967209
2019,2,1000293,2971028,4728077231
2019,2,1000292,3418798,4167300396
2019,2,1000291,3026831,1500715920
2019,2,1000290,2685284,6335985381
2019,2,1000289,3000470,4434438904
2019,2,1000288,3032894,7689974485
2019,2,1000287,3048592,7023642075
2019,2,1000286,3093340,5076454434
2019,2,1000285,2680835,7524520794
2019,2,1000284,3445665,8799754858
2019,2,1000283,2448088,6107318140
2019,2,1000282,3059856,4829642718
2019,2,1000281,4280144,9580987503
2019,2,1000280,3469374,5129695265
2019,2,1000279,3027201,4289020301
2019,2,1000278,3307114,4051432058
2019,2,1000277,2982700,4142147520
2019,2,1000276,3261904,5780227845
2019,2,1000275,2963276,5504916730
2019,2,1000274,2786008,7277801431
2019,2,1000273,3304293,10228728551
2019,2,1000272,2843096,2532828056
2019,2,1000271,3286986,2962504513
2019,2,1000270,3345890,5968034625
2019,2,1000269,3971641,5595291909
2019,2,1000268,4002650,7536524907
2019,2,1000267,2878121,4853555020
2019,2,1000266,2608279,5172840035
2019,2,1000265,2370430,6044000852
2019,2,1000264,2726407,7061453433
2019,2,1000263,2332547,5304063865
2019,2,1000262,2321496,4748161149
2019,2,1000261,4481864,6650185286
2019,2,1000260,2522833,6761107745
2019,2,1000259,2378631,6547909529
2019,2,1000258,2591265,7363546360
2019,2,1000257,2456564,5371486967
2019,2,1000256,2301596,7986901797
2019,2,1000255,3355069,8639613719
2019,2,1000254,2518841,8111423837
2019,2,1000253,2667395,7585505558
2019,2,1000252,3094631,10045482748
2019,2,1000251,2265470,8013530951
2019,2,1000250,2637364,9309615352
2019,2,1000249,2472519,7944748097
2019,2,1000248,2431129,11300389668
2019,2,1000247,2355466,8939550281
2019,2,1000246,2352135,7406297437
2019,2,1000245,2422152,7117521386
2019,2,1000244,2419639,8252083762
2019,2,1000243,2467166,6231760978
2019,2,1000242,2691187,7425408928
2019,2,1000241,2520064,6253778344
2019,2,1000240,2577791,4816915850
2019,2,1000239,2235672,7817972864
2019,2,1000238,2795946,7572535726
2019,2,1000237,2773263,13249089647
