year,quarter,district,b_worker
2019,2,1000472,8436
2019,2,1000471,20035
2019,2,1000470,6660
2019,2,1000469,13228
2019,2,1000468,12470
2019,2,1000467,14225
2019,2,1000466,15639
2019,2,1000465,6944
2019,2,1000464,4840
2019,2,1000463,5337
2019,2,1000462,31337
2019,2,1000461,21909
2019,2,1000460,1769
2019,2,1000459,6556
2019,2,1000458,4449
2019,2,1000457,1237
2019,2,1000456,1461
2019,2,1000455,2092
2019,2,1000454,2084
2019,2,1000453,1390
2019,2,1000452,59195
2019,2,1000451,22633
2019,2,1000450,1991
2019,2,1000449,2934
2019,2,1000448,1276
2019,2,1000447,1927
2019,2,1000446,2762
2019,2,1000445,14872
2019,2,1000444,7562
2019,2,1000443,3128
2019,2,1000442,2353
2019,2,1000441,2195
2019,2,1000440,2205
2019,2,1000439,7975
2019,2,1000438,2144
2019,2,1000437,2438
2019,2,1000436,3344
2019,2,1000435,1546
2019,2,1000434,2300
2019,2,1000433,2025
2019,2,1000432,2128
2019,2,1000431,2391
2019,2,1000430,3828
2019,2,1000429,5253
2019,2,1000428,2846
2019,2,1000427,1371
2019,2,1000426,1473
2019,2,1000425,2315
2019,2,1000424,2202
2019,2,1000423,1752
2019,2,1000422,1878
2019,2,1000421,2396
2019,2,1000420,1782
2019,2,1000419,1669
2019,2,1000418,2333
2019,2,1000417,1786
2019,2,1000416,2908
2019,2,1000415,3035
2019,2,1000414,3585
2019,2,1000413,7151
2019,2,1000412,3809
2019,2,1000411,2341
2019,2,1000410,1549
2019,2,1000409,2221
2019,2,1000408,1417
2019,2,1000407,1742
2019,2,1000406,2881
2019,2,1000405,3929
2019,2,1000404,3472
2019,2,1000403,4240
2019,2,1000402,4227
2019,2,1000401,3407
2019,2,1000400,4175
2019,2,1000399,1791
2019,2,1000398,2285
2019,2,1000397,1468
2019,2,1000396,2059
2019,2,1000395,2364
2019,2,1000394,2324
2019,2,1000393,2720
2019,2,1000392,898
2019,2,1000391,1585
2019,2,1000390,1905
2019,2,1000389,2464
2019,2,1000388,2289
2019,2,1000387,2538
2019,2,1000386,2498
2019,2,1000385,2119
2019,2,1000384,3297
2019,2,1000383,3131
2019,2,1000382,3410
2019,2,1000381,3250
2019,2,1000380,5554
2019,2,1000379,8070
2019,2,1000378,5242
2019,2,1000377,4681
2019,2,1000376,1549
2019,2,1000375,1811
2019,2,1000374,3367
2019,2,1000373,1599
2019,2,1000372,1759
2019,2,1000371,3573
2019,2,1000370,1390
2019,2,1000369,1790
2019,2,1000368,1632
2019,2,1000367,1298
2019,2,1000366,1648
2019,2,1000365,2020
2019,2,1000364,2949
2019,2,1000363,2537
2019,2,1000362,3136
2019,2,1000361,2700
2019,2,1000360,2887
2019,2,1000359,3434
2019,2,1000358,3176
2019,2,1000357,1087
2019,2,1000356,1296
2019,2,1000355,1155
2019,2,1000354,1361
2019,2,1000353,3882
2019,2,1000352,2895
2019,2,1000351,4166
2019,2,1000350,4968
2019,2,1000349,5259
2019,2,1000348,2136
2019,2,1000347,2922
2019,2,1000346,2011
2019,2,1000345,2164
2019,2,1000344,2235
2019,2,1000343,2547
2019,2,1000342,5765
2019,2,1000341,1088
2019,2,1000340,1465
2019,2,1000339,5147
2019,2,1000338,3095
2019,2,1000337,3844
2019,2,1000336,2636
2019,2,1000335,2274
2019,2,1000334,2326
2019,2,1000333,1442
2019,2,1000332,1522
2019,2,1000331,2162
2019,2,1000330,1707
2019,2,1000329,1806
2019,2,1000328,1114
2019,2,1000327,6320
2019,2,1000326,2486
2019,2,1000325,2864
2019,2,1000324,5726
2019,2,1000323,2058
2019,2,1000322,2875
2019,2,1000321,2885
2019,2,1000320,1557
2019,2,1000319,7030
2019,2,1000318,2293
2019,2,1000317,1934
2019,2,1000316,1640
2019,2,1000315,4792
2019,2,1000314,3635
2019,2,1000313,2485
2019,2,1000312,4370
2019,2,1000311,1967
2019,2,1000310,4281
2019,2,1000309,5057
2019,2,1000308,2008
2019,2,1000307,1300
2019,2,1000306,3313
2019,2,1000305,3415
2019,2,1000304,4981
2019,2,1000303,2393
2019,2,1000302,2678
2019,2,1000301,1605
2019,2,1000300,1923
2019,2,1000299,2471
2019,2,1000298,2215
2019,2,1000297,1283
2019,2,1000296,3081
2019,2,1000295,4477
2019,2,1000294,3607
2019,2,1000293,9127
2019,2,1000292,9372
2019,2,1000291,8349
2019,2,1000290,6202
2019,2,1000289,5131
2019,2,1000288,5981
2019,2,1000287,2879
2019,2,1000286,3311
2019,2,1000285,4496
2019,2,1000284,3837
2019,2,1000283,1472
2019,2,1000282,2892
2019,2,1000281,3190
2019,2,1000280,1692
2019,2,1000279,1644
2019,2,1000278,1906
2019,2,1000277,9280
2019,2,1000276,6180
2019,2,1000275,6229
2019,2,1000274,4013
2019,2,1000273,2611
2019,2,1000272,2376
2019,2,1000271,2298
2019,2,1000270,7953
2019,2,1000269,5509
2019,2,1000268,6156
2019,2,1000267,1521
2019,2,1000266,770
2019,2,1000265,3461
2019,2,1000264,2485
2019,2,1000263,3157
2019,2,1000262,1731
2019,2,1000261,2018
2019,2,1000260,4843
2019,2,1000259,2120
2019,2,1000258,3028
2019,2,1000257,1987
2019,2,1000256,1971
2019,2,1000255,2546
2019,2,1000254,2371
2019,2,1000253,1196
2019,2,1000252,6060
2019,2,1000251,1970
2019,2,1000250,2337
2019,2,1000249,4722
2019,2,1000248,4247
2019,2,1000247,2652
2019,2,1000246,2363
2019,2,1000245,2816
2019,2,1000244,2824
2019,2,1000243,2737
2019,2,1000242,1943
2019,2,1000241,1832
2019,2,1000240,2220
2019,2,1000239,3300
2019,2,1000238,2063
2019,2,1000237,3871
2019,2,1000236,2168
2019,2,1000235,3178
2019,2,1000234,2631
2019,2,1000233,3257
2019,2,1000232,2110
2019,2,1000231,3182
2019,2,1000230,5932
2019,2,1000229,2256
2019,2,1000228,4830
2019,2,1000227,1786
2019,2,1000226,2349
2019,2,1000225,1893
2019,2,1000224,2578
2019,2,1000223,2011
2019,2,1000222,3936
2019,2,1000221,2621
2019,2,1000220,2451
2019,2,1000219,576
2019,2,1000218,1532
2019,2,1000217,2993
2019,2,1000216,3836
2019,2,1000215,1948
2019,2,1000214,8920
2019,2,1000213,5759
2019,2,1000212,14144
2019,2,1000211,4559
2019,2,1000210,8745
2019,2,1000209,13309
2019,2,1000208,7698
2019,2,1000207,4836
