year,quarter,district,s_worker
2019,2,1000854,1471
2019,2,1000853,1171
2019,2,1000852,2566
2019,2,1000851,1537
2019,2,1000850,11681
2019,2,1000849,1320
2019,2,1000848,3467
2019,2,1000847,3715
2019,2,1000846,2349
2019,2,1000845,1774
2019,2,1000844,2739
2019,2,1000843,72
2019,2,1000842,109
2019,2,1000841,14
2019,2,1000840,64
2019,2,1000839,775
2019,2,1000838,89
2019,2,1000837,851
2019,2,1000836,514
2019,2,1000835,273
2019,2,1000834,471
2019,2,1000833,234
2019,2,1000832,157
2019,2,1000831,1122
2019,2,1000830,374
2019,2,1000829,510
2019,2,1000828,290
2019,2,1000827,527
2019,2,1000826,71
2019,2,1000825,100
2019,2,1000824,128
2019,2,1000823,157
2019,2,1000822,120
2019,2,1000821,115
2019,2,1000820,280
2019,2,1000819,72
2019,2,1000818,85
2019,2,1000817,782
2019,2,1000816,109
2019,2,1000815,230
2019,2,1000814,678
2019,2,1000813,70
2019,2,1000812,303
2019,2,1000811,222
2019,2,1000810,87
2019,2,1000809,92
2019,2,1000808,42
2019,2,1000807,263
2019,2,1000806,97
2019,2,1000805,20
2019,2,1000804,295
2019,2,1000803,81
2019,2,1000802,241
2019,2,1000801,1320
2019,2,1000800,431
2019,2,1000799,297
2019,2,1000798,732
2019,2,1000797,551
2019,2,1000796,488
2019,2,1000795,415
2019,2,1000794,183
2019,2,1000793,304
2019,2,1000792,105
2019,2,1000791,132
2019,2,1000790,95
2019,2,1000789,74
2019,2,1000788,162
2019,2,1000787,87
2019,2,1000786,250
2019,2,1000785,169
2019,2,1000784,220
2019,2,1000783,240
2019,2,1000782,190
2019,2,1000781,275
2019,2,1000780,577
2019,2,1000779,118
2019,2,1000778,80
2019,2,1000777,141
2019,2,1000776,528
2019,2,1000775,500
2019,2,1000774,1325
2019,2,1000773,1107
2019,2,1000772,330
2019,2,1000771,70
2019,2,1000770,260
2019,2,1000769,137
2019,2,1000768,244
2019,2,1000767,69
2019,2,1000766,410
2019,2,1000765,137
2019,2,1000764,170
2019,2,1000763,23
2019,2,1000762,25
2019,2,1000761,515
2019,2,1000760,357
2019,2,1000759,221
2019,2,1000758,199
2019,2,1000757,452
2019,2,1000756,163
2019,2,1000755,474
2019,2,1000754,343
2019,2,1000753,181
2019,2,1000752,208
2019,2,1000751,133
2019,2,1000750,72
2019,2,1000749,99
2019,2,1000748,274
2019,2,1000747,169
2019,2,1000746,237
2019,2,1000745,168
2019,2,1000744,407
2019,2,1000743,370
2019,2,1000742,869
2019,2,1000741,340
2019,2,1000740,255
2019,2,1000739,760
2019,2,1000738,405
2019,2,1000737,225
2019,2,1000736,90
2019,2,1000735,281
2019,2,1000734,55
2019,2,1000733,182
2019,2,1000732,325
2019,2,1000731,1150
2019,2,1000730,64
2019,2,1000729,231
2019,2,1000728,547
2019,2,1000727,492
2019,2,1000726,556
2019,2,1000725,438
2019,2,1000724,912
2019,2,1000723,178
2019,2,1000722,363
2019,2,1000721,753
2019,2,1000720,1980
2019,2,1000719,5726
2019,2,1000718,136
2019,2,1000717,214
2019,2,1000716,67
2019,2,1000715,178
2019,2,1000714,217
2019,2,1000713,221
2019,2,1000712,2709
2019,2,1000711,497
2019,2,1000710,795
2019,2,1000709,88
2019,2,1000708,207
2019,2,1000707,269
2019,2,1000706,77
2019,2,1000705,239
2019,2,1000704,139
2019,2,1000703,510
2019,2,1000702,210
2019,2,1000701,75
2019,2,1000700,689
2019,2,1000699,125
2019,2,1000698,473
2019,2,1000697,122
2019,2,1000696,612
2019,2,1000695,453
2019,2,1000694,1091
2019,2,1000693,1199
2019,2,1000692,131
2019,2,1000691,2976
2019,2,1000690,1156
2019,2,1000689,14894
2019,2,1000688,1503
2019,2,1000687,3178
2019,2,1000686,547
2019,2,1000685,1766
2019,2,1000684,1318
2019,2,1000683,117
2019,2,1000682,294
2019,2,1000681,133
2019,2,1000680,1287
2019,2,1000679,2087
2019,2,1000678,131
2019,2,1000677,277
2019,2,1000676,323
2019,2,1000675,195
2019,2,1000674,220
2019,2,1000673,637
2019,2,1000672,395
2019,2,1000671,315
2019,2,1000670,356
2019,2,1000669,903
2019,2,1000668,3300
2019,2,1000667,216
2019,2,1000666,90
2019,2,1000665,111
2019,2,1000664,175
2019,2,1000663,306
2019,2,1000662,109
2019,2,1000661,208
2019,2,1000660,1855
2019,2,1000659,272
2019,2,1000658,57
2019,2,1000657,156
2019,2,1000656,80
2019,2,1000655,664
2019,2,1000654,1487
2019,2,1000653,1556
2019,2,1000652,133
2019,2,1000651,36
2019,2,1000650,489
2019,2,1000649,406
2019,2,1000648,560
2019,2,1000647,499
2019,2,1000646,174
2019,2,1000645,242
2019,2,1000644,1383
2019,2,1000643,2405
2019,2,1000642,66
2019,2,1000641,301
2019,2,1000640,63
2019,2,1000639,151
2019,2,1000638,137
2019,2,1000637,198
2019,2,1000636,394
2019,2,1000635,215
2019,2,1000634,1007
2019,2,1000633,362
2019,2,1000632,256
2019,2,1000631,138
2019,2,1000630,200
2019,2,1000629,197
2019,2,1000628,348
2019,2,1000627,57
2019,2,1000626,101
2019,2,1000625,1325
2019,2,1000624,90
2019,2,1000623,105
2019,2,1000622,202
2019,2,1000621,194
2019,2,1000620,661
2019,2,1000619,251
2019,2,1000618,117
2019,2,1000617,281
2019,2,1000616,267
2019,2,1000615,3645
2019,2,1000614,857
2019,2,1000613,453
2019,2,1000612,67
2019,2,1000611,194
2019,2,1000610,104
2019,2,1000609,122
2019,2,1000608,787
2019,2,1000607,376
2019,2,1000606,1075
2019,2,1000605,399
2019,2,1000604,556
2019,2,1000603,203
2019,2,1000602,298
2019,2,1000601,97
2019,2,1000600,251
2019,2,1000599,138
2019,2,1000598,241
2019,2,1000597,630
2019,2,1000596,271
2019,2,1000595,770
2019,2,1000594,279
2019,2,1000593,266
2019,2,1000592,372
2019,2,1000591,257
2019,2,1000590,772
2019,2,1000589,581
2019,2,1000588,306
2019,2,1000587,428
2019,2,1000586,300
2019,2,1000585,403
2019,2,1000584,131
2019,2,1000583,441
2019,2,1000582,164
2019,2,1000581,452
2019,2,1000580,427
2019,2,1000579,335
2019,2,1000578,895
2019,2,1000577,1296
2019,2,1000576,911
2019,2,1000575,501
2019,2,1000574,605
2019,2,1000573,412
2019,2,1000572,136
2019,2,1000571,85
2019,2,1000570,142
2019,2,1000569,345
2019,2,1000568,210
2019,2,1000567,762
2019,2,1000566,616
2019,2,1000565,657
2019,2,1000564,185
2019,2,1000563,461
2019,2,1000562,181
2019,2,1000561,314
2019,2,1000560,220
2019,2,1000559,216
2019,2,1000558,95
2019,2,1000557,290
2019,2,1000556,138
2019,2,1000555,192
2019,2,1000554,416
2019,2,1000553,265
2019,2,1000552,132
2019,2,1000551,417
2019,2,1000550,246
2019,2,1000549,215
2019,2,1000548,167
2019,2,1000547,165
2019,2,1000546,37
2019,2,1000545,177
2019,2,1000544,272
2019,2,1000543,614
2019,2,1000542,185
2019,2,1000541,568
2019,2,1000540,349
2019,2,1000539,226
2019,2,1000538,381
2019,2,1000537,344
2019,2,1000536,296
2019,2,1000535,119
2019,2,1000534,367
2019,2,1000533,437
2019,2,1000532,263
2019,2,1000531,160
2019,2,1000530,347
2019,2,1000529,188
2019,2,1000528,172
2019,2,1000527,51
2019,2,1000526,233
2019,2,1000525,50
2019,2,1000524,258
2019,2,1000523,513
2019,2,1000522,1421
2019,2,1000521,417
2019,2,1000520,196
2019,2,1000519,571
2019,2,1000518,274
2019,2,1000517,568
2019,2,1000516,254
