year,quarter,district,facil_total,bank,pharm,theater,subway_st,bus_st
2019,2,1000555,4,,,,,
2019,2,1000964,10,,3,,,2
2019,2,1000283,8,,,,,2
2019,2,1000528,7,,,,,
2019,2,1000663,8,,2,,,1
2019,2,1000903,7,,1,,,
2019,2,1001392,2,,1,,,
2019,2,1000672,17,2,1,,,4
2019,2,1000881,6,1,,,,
2019,2,1001325,4,1,,,,
2019,2,1001322,6,,2,,1,1
2019,2,1000654,7,,1,,,5
2019,2,1001349,8,,1,,,1
2019,2,1000699,3,,1,,,2
2019,2,1000355,2,,1,,,1
2019,2,1000310,8,,,,1,3
2019,2,1000063,16,,,2,,5
2019,2,1001286,2,,,,,1
2019,2,1000280,16,,,,,4
2019,2,1000812,7,,,,,3
2019,2,1000705,25,1,2,,,8
2019,2,1000268,10,,2,,,
2019,2,1000907,11,,,,,1
2019,2,1001371,6,,1,,,1
2019,2,1000107,13,,2,,,2
2019,2,1000763,2,,,,,
2019,2,1000221,16,,5,,1,1
2019,2,1000122,6,,1,,,
2019,2,1001137,29,,5,,,1
2019,2,1001415,5,,1,,,1
2019,2,1000740,14,,3,,,1
2019,2,1000243,13,,1,,,2
2019,2,1000297,12,2,,,,4
2019,2,1001377,17,1,3,,,3
2019,2,1000942,24,,5,,,2
2019,2,1000319,8,,,,,2
2019,2,1001416,1,,,,,
2019,2,1000543,11,,1,,,3
2019,2,1001113,10,,1,1,1,2
2019,2,1000021,17,,2,1,,4
2019,2,1000690,17,,2,,,3
2019,2,1000504,17,,1,,,5
2019,2,1000126,13,,,,,6
2019,2,1000649,8,,,,,3
2019,2,1001036,6,,,,,1
2019,2,1000344,6,,,,,2
2019,2,1001442,4,,1,,,1
2019,2,1001126,2,1,,,,1
2019,2,1001368,18,1,2,,1,3
2019,2,1000428,11,,2,,,3
2019,2,1000190,12,1,3,,,4
2019,2,1001061,18,,2,,,4
2019,2,1001004,15,1,2,,,2
2019,2,1000032,18,1,3,,,1
2019,2,1001155,16,3,,,,4
2019,2,1000304,11,,,,,4
2019,2,1000805,20,,,,,
2019,2,1000510,13,,2,,,1
2019,2,1000902,9,,,,,1
2019,2,1000764,26,1,5,,,4
2019,2,1001450,30,1,4,,,2
2019,2,1000667,9,,2,,,1
2019,2,1000415,11,,1,,,2
2019,2,1001339,12,,2,,,1
2019,2,1000253,10,,,,,1
2019,2,1000193,20,,3,,,3
2019,2,1000031,10,,1,,,
2019,2,1000015,13,,,1,,1
2019,2,1000867,15,1,1,,,3
2019,2,1000027,19,,,,,
2019,2,1001271,17,,,1,,3
2019,2,1000910,22,,,3,,1
2019,2,1000581,6,,,,,4
2019,2,1000452,22,1,2,,,4
2019,2,1000674,17,,1,,,5
2019,2,1000531,3,,,,,
2019,2,1000538,12,,,,,
2019,2,1000507,4,,1,,,
2019,2,1001411,16,,2,,,2
2019,2,1000558,2,,,,,
2019,2,1000567,24,1,2,,,2
2019,2,1000730,11,,1,,,
2019,2,1000767,7,,,,,3
2019,2,1000858,7,,,,,
2019,2,1000971,3,,,,,
2019,2,1000978,11,,2,,,1
2019,2,1000501,13,,,,,9
2019,2,1000439,9,1,,,,1
2019,2,1000436,14,,,,,5
2019,2,1000395,6,,1,,,
2019,2,1000014,4,,,,,1
2019,2,1000195,2,,1,,,
2019,2,1001326,13,2,1,,,1
2019,2,1000359,6,,1,,,2
2019,2,1000348,3,,,,,
2019,2,1000013,18,,,1,,1
2019,2,1000469,27,,,,,1
2019,2,1000836,12,,,,,1
2019,2,1001352,4,,1,,,1
2019,2,1000308,9,,1,,,2
2019,2,1000451,22,1,1,,1,6
2019,2,1000499,28,1,2,,1,4
2019,2,1000460,11,,2,,,2
2019,2,1000161,27,1,4,,,2
2019,2,1000139,7,,,,,
2019,2,1001162,26,,2,,,1
2019,2,1000796,22,1,5,,,5
2019,2,1001348,12,,2,,,1
2019,2,1001002,28,2,5,,1,
2019,2,1000782,17,1,4,,,
2019,2,1001076,17,1,2,,,4
2019,2,1000980,15,1,4,,,1
2019,2,1000237,44,1,4,,,6
2019,2,1001201,27,1,4,,,1
2019,2,1000432,8,,1,,,2
2019,2,1000072,9,2,1,,,
2019,2,1000707,12,,3,,1,2
2019,2,1000542,5,,1,,,1
2019,2,1001476,6,,2,,,
2019,2,1000270,20,,2,,,
2019,2,1000263,7,,1,,,1
2019,2,1001298,10,,3,,,
2019,2,1000616,19,,3,,,6
2019,2,1001299,7,,1,,,
2019,2,1000130,11,1,1,,,1
2019,2,1000794,9,,2,,,1
2019,2,1001028,15,,2,,,3
2019,2,1000979,13,2,1,,,
2019,2,1000917,14,,3,,,
2019,2,1001089,15,1,2,,1,2
2019,2,1000930,27,1,2,,,4
2019,2,1000596,19,1,1,,,4
2019,2,1000101,4,,2,,,
2019,2,1000051,13,,1,1,,4
2019,2,1001158,22,1,3,,,4
2019,2,1000996,6,,2,,,1
2019,2,1001109,75,6,4,,,9
2019,2,1000352,30,2,6,,,3
2019,2,1000671,13,,1,,,1
2019,2,1000333,14,,2,,,6
2019,2,1000500,22,1,4,,,3
2019,2,1000191,2,,1,,,
2019,2,1000418,14,1,2,,,1
2019,2,1000526,13,1,3,,,
2019,2,1000594,18,,1,,,6
2019,2,1000433,15,,4,,,3
2019,2,1000252,38,,4,,,5
2019,2,1000478,8,,1,,,2
2019,2,1001478,42,1,7,,,2
2019,2,1000169,14,,2,,,
2019,2,1001022,30,4,3,,,3
2019,2,1000935,12,,2,,,
2019,2,1000933,16,1,1,,,5
2019,2,1001180,147,3,11,,2,29
2019,2,1001276,20,3,2,5,,1
2019,2,1001219,10,,1,,1,1
2019,2,1000200,8,,1,,,2
2019,2,1001085,319,13,23,1,2,16
2019,2,1001242,47,3,6,1,1,4
2019,2,1001430,132,8,16,2,1,19
2019,2,1001495,242,12,9,23,3,31
2019,2,1000087,11,1,1,,,1
2019,2,1000712,12,1,2,,,2
2019,2,1001018,29,7,1,,,2
2019,2,1001133,46,3,3,4,,1
2019,2,1000592,20,1,3,,,2
2019,2,1001080,10,1,2,,,
2019,2,1001182,255,9,16,13,4,34
2019,2,1001236,21,2,1,2,,3
2019,2,1000477,7,,1,,,1
2019,2,1000733,21,1,2,,,1
2019,2,1001015,54,4,7,,,11
2019,2,1000150,19,,3,,,5
2019,2,1000824,6,,,,,1
2019,2,1000998,5,,1,,,1
2019,2,1000853,9,,,,,2
2019,2,1000837,13,1,1,,,2
2019,2,1000481,17,,,,,3
2019,2,1000136,17,,1,,,4
2019,2,1001227,100,11,9,2,,5
2019,2,1000489,3,,,,,
2019,2,1000431,5,,,,,
2019,2,1000886,3,,1,,,
2019,2,1001346,1,,,,,
2019,2,1001477,4,,2,,,
2019,2,1000844,3,,,,,
2019,2,1001358,1,,,,,
2019,2,1000736,2,,1,,,
2019,2,1000336,10,1,2,,,1
2019,2,1000502,9,,1,,,2
2019,2,1001475,4,1,,,,2
2019,2,1000685,3,,,,,3
2019,2,1000846,8,,1,,,
2019,2,1000856,15,,2,,,2
2019,2,1000562,6,,,,,2
2019,2,1000514,2,,,,,1
2019,2,1000342,16,,,,,6
2019,2,1000293,4,,1,,,3
2019,2,1000074,5,,1,,,
2019,2,1001385,20,1,4,,1,2
2019,2,1000393,10,,2,,,4
2019,2,1000529,5,,,,,2
2019,2,1000240,5,,1,,,1
2019,2,1000178,7,,1,,,2
2019,2,1000036,6,,,,,
2019,2,1001433,1,,,,,
2019,2,1000691,24,1,2,,1,2
2019,2,1000600,34,,1,,,4
2019,2,1000943,7,,,,,
2019,2,1000948,11,1,1,,,1
2019,2,1000368,5,,,,,2
2019,2,1001355,8,,2,,,
2019,2,1000076,5,,,,,1
2019,2,1000906,4,,,,,
2019,2,1000875,9,,,,,
2019,2,1000997,20,,6,,,1
2019,2,1000911,7,,,1,,
2019,2,1000029,4,,,,,
2019,2,1000631,8,,2,,,
2019,2,1001458,22,1,4,,,2
2019,2,1001396,4,,,,,
2019,2,1000105,7,,1,,,
2019,2,1000196,14,,3,,,1
2019,2,1000309,19,,,,,4
2019,2,1001202,56,4,1,9,,7
2019,2,1000125,11,1,1,,1,
2019,2,1001404,5,,1,,,1
2019,2,1000676,12,1,2,,,3
2019,2,1000330,10,,1,,,2
2019,2,1000545,20,1,4,,,2
2019,2,1000799,8,,2,,,2
2019,2,1000242,8,,1,,,
2019,2,1000004,12,,3,,,5
2019,2,1000429,6,,2,,,
2019,2,1001483,12,1,1,,,1
2019,2,1001146,7,1,,,,2
2019,2,1000104,17,3,1,,,1
2019,2,1000223,14,1,1,,,3
2019,2,1000695,8,1,3,,,2
2019,2,1000311,8,1,,,1,1
2019,2,1000810,13,,,,,6
2019,2,1000202,6,,,,,1
2019,2,1000769,13,,1,,,5
2019,2,1000446,18,,2,1,,3
2019,2,1001353,19,1,4,,,1
2019,2,1001267,9,,1,,,2
2019,2,1000325,2,,,,,1
2019,2,1001097,23,2,3,5,,1
2019,2,1001423,6,,1,,,1
2019,2,1000445,17,,,,,2
2019,2,1000044,12,,,,,
2019,2,1001200,62,4,2,,,7
2019,2,1000102,13,,2,,,6
2019,2,1001187,16,,1,,,2
2019,2,1000127,27,1,2,,,1
2019,2,1000838,20,,1,,,1
2019,2,1001016,20,1,1,,,7
2019,2,1000983,25,,3,,,7
2019,2,1000726,9,,2,,,1
2019,2,1000303,7,1,,,,
2019,2,1000916,3,,,,,
2019,2,1000938,7,,1,,,
2019,2,1001086,41,5,5,2,1,12
2019,2,1000850,7,,1,,,
2019,2,1001310,3,,,,,
2019,2,1000732,14,,3,,,1
2019,2,1000714,6,,1,,,2
2019,2,1001424,9,,2,,,
2019,2,1000140,14,,1,,,1
2019,2,1000841,2,,,,,
2019,2,1000780,8,,,,,1
2019,2,1000819,8,,1,,,2
2019,2,1000639,19,,2,,,
2019,2,1000541,10,1,,,,1
2019,2,1000550,11,,1,,,2
2019,2,1000570,5,,,,,2
2019,2,1001142,11,,,,,1
2019,2,1000735,20,,2,,,9
2019,2,1000754,8,,,,,6
2019,2,1000965,24,,1,1,,2
2019,2,1001001,13,,4,,,
2019,2,1000995,5,,,,,1
2019,2,1000157,9,,,,,
2019,2,1000057,12,1,1,,,2
2019,2,1000416,3,,,,,1
2019,2,1000213,9,,,,,
2019,2,1000199,5,,,,,1
