year,quarter,district,floatpop
2014,1,1000552,134169
2014,1,1000553,192897
2014,1,1000554,335754
2014,1,1000555,174248
2014,1,1000556,491366
2014,1,1000557,402370
2014,1,1000558,201638
2014,1,1000559,171365
2014,1,1000560,177844
2014,1,1000561,338437
2014,1,1000562,320208
2014,1,1000563,239092
2014,1,1000564,124654
2014,1,1000565,316244
2014,1,1000566,254868
2014,1,1000567,283082
2014,1,1000568,160473
2014,1,1000569,149212
2014,1,1000570,222251
2014,1,1000571,183567
2014,1,1000572,251812
2014,1,1000573,137108
2014,1,1000574,126564
2014,1,1000575,171848
2014,1,1000576,82231
2014,1,1000577,130648
2014,1,1000578,276657
2014,1,1000579,164639
2014,1,1000580,183823
2014,1,1000581,190832
2014,1,1000582,246472
2014,1,1000583,225332
2014,1,1000584,243338
2014,1,1000585,282183
2014,1,1000586,196883
2014,1,1000587,141905
2014,1,1000588,173591
2014,1,1000589,240780
2014,1,1000590,107485
2014,1,1000591,209885
2014,1,1000592,201062
2014,1,1000593,209000
2014,1,1000594,44666
2014,1,1000595,252475
2014,1,1000596,376924
2014,1,1000597,309982
2014,1,1000598,478677
2014,1,1000599,100106
2014,1,1000600,316312
2014,1,1000601,242361
2014,1,1000602,121999
2014,1,1000603,243631
2014,1,1000604,216043
2014,1,1000605,310732
2014,1,1000606,285265
2014,1,1000607,234335
2014,1,1000608,221231
2014,1,1000609,201707
2014,1,1000610,237690
2014,1,1000611,116432
2014,1,1000612,180741
2014,1,1000613,379871
2014,1,1000614,141653
2014,1,1000615,168187
2014,1,1000616,117557
2014,1,1000617,200070
2014,1,1000618,134766
2014,1,1000619,197930
2014,1,1000620,165356
2014,1,1000621,476203
2014,1,1000622,348307
2014,1,1000623,262276
2014,1,1000624,304913
2014,1,1000625,79202
2014,1,1000626,142204
2014,1,1000627,178771
2014,1,1000628,229577
2014,1,1000629,118875
2014,1,1000630,369706
2014,1,1000631,219501
2014,1,1000632,733202
2014,1,1000633,202153
2014,1,1000634,595418
2014,1,1000635,272647
2014,1,1000636,81684
2014,1,1000637,159287
2014,1,1000638,266165
2014,1,1000639,140870
2014,1,1000640,258585
2014,1,1000641,274324
2014,1,1000642,104389
2014,1,1000643,195165
2014,1,1000644,404341
2014,1,1000645,107155
2014,1,1000646,131866
2014,1,1000647,25980
2014,1,1000648,192535
2014,1,1000649,55550
2014,1,1000650,239615
2014,1,1000651,62717
2014,1,1000652,97789
2014,1,1000653,236048
2014,1,1000654,58643
2014,1,1000655,208326
2014,1,1000656,289823
2014,1,1000657,122144
2014,1,1000658,158185
2014,1,1000659,152642
2014,1,1000660,281929
2014,1,1000661,241178
2014,1,1000662,165874
2014,1,1000663,278310
2014,1,1000664,396069
2014,1,1000665,300423
2014,1,1000666,63906
2014,1,1000667,151563
2014,1,1000668,123923
2014,1,1000669,217128
2014,1,1000670,225388
2014,1,1000671,404762
2014,1,1000672,316358
2014,1,1000673,208918
2014,1,1000674,366165
2014,1,1000675,295742
2014,1,1000676,186287
2014,1,1000677,158017
2014,1,1000678,266539
2014,1,1000679,119644
2014,1,1000680,177804
2014,1,1000681,254613
2014,1,1000682,399684
2014,1,1000683,302399
2014,1,1000684,170745
2014,1,1000685,94604
2014,1,1000686,68018
2014,1,1000687,246464
2014,1,1000688,157970
2014,1,1000689,89205
2014,1,1000690,185888
2014,1,1000691,514906
2014,1,1000692,324630
2014,1,1000693,650284
2014,1,1000694,153748
2014,1,1000695,184725
2014,1,1000696,182338
2014,1,1000697,116633
2014,1,1000698,301922
2014,1,1000699,152836
2014,1,1000700,425685
2014,1,1000701,169733
2014,1,1000702,236290
2014,1,1000703,221836
2014,1,1000704,236148
2014,1,1000705,198382
2014,1,1000706,179077
2014,1,1000707,390826
2014,1,1000708,340105
2014,1,1000709,192229
2014,1,1000710,407923
2014,1,1000711,310839
2014,1,1000712,151946
2014,1,1000713,248524
2014,1,1000714,235423
2014,1,1000715,173244
2014,1,1000716,167575
2014,1,1000717,409005
2014,1,1000718,299212
2014,1,1000719,252417
2014,1,1000720,193574
2014,1,1000721,169314
2014,1,1000722,232482
2014,1,1000723,99039
2014,1,1000724,222580
2014,1,1000725,147495
2014,1,1000726,341146
2014,1,1000727,104276
2014,1,1000728,243447
2014,1,1000729,307325
2014,1,1000730,193858
2014,1,1000731,292062
