year,quarter,district,resid_total,household_total,household_apt
2019,2,1001127,1359,509,461
2019,2,1001126,288,154,0
2019,2,1001125,447,172,116
2019,2,1001124,1593,1284,0
2019,2,1001123,415,261,46
2019,2,1001122,1445,597,119
2019,2,1001121,484,420,0
2019,2,1001120,274,180,25
2019,2,1001119,789,729,0
2019,2,1001118,1488,719,574
2019,2,1001117,1041,644,0
2019,2,1001116,323,283,0
2019,2,1001115,757,569,0
2019,2,1001114,766,537,0
2019,2,1001113,12,12,0
2019,2,1001112,113,88,0
2019,2,1001111,565,383,67
2019,2,1001110,1787,615,216
2019,2,1001109,1932,1232,10
2019,2,1001108,532,360,0
2019,2,1001107,1418,939,0
2019,2,1001106,105,83,0
2019,2,1001105,1129,937,0
2019,2,1001104,65,50,0
2019,2,1001103,26,15,0
2019,2,1001102,896,550,0
2019,2,1001101,3129,1881,135
2019,2,1001100,78,42,0
2019,2,1001099,700,406,0
2019,2,1001098,2118,1195,75
2019,2,1001096,3227,1148,548
2019,2,1001095,3931,2516,0
2019,2,1001094,643,340,0
2019,2,1001093,2803,1693,0
2019,2,1001092,1973,1396,0
2019,2,1001091,9,5,0
2019,2,1001090,686,436,0
2019,2,1001089,86,45,0
2019,2,1001088,1511,856,0
2019,2,1001087,2167,1394,0
2019,2,1001085,3214,2307,45
2019,2,1001084,676,501,0
2019,2,1001083,594,299,0
2019,2,1001082,4251,2684,113
2019,2,1001081,1035,661,0
2019,2,1001080,201,111,0
2019,2,1001079,3,2,0
2019,2,1001078,3089,1795,670
2019,2,1001077,1337,599,289
2019,2,1001076,690,317,167
2019,2,1001075,393,91,0
2019,2,1001074,2626,1831,0
2019,2,1001073,5470,3884,55
2019,2,1001072,1243,821,35
2019,2,1001071,2102,926,0
2019,2,1001070,370,127,86
2019,2,1001069,303,132,0
2019,2,1001068,17,8,0
2019,2,1001067,3851,2803,0
2019,2,1001066,2548,1851,103
2019,2,1001065,188,62,0
2019,2,1001064,1754,1481,0
2019,2,1001063,1002,429,39
2019,2,1001062,3012,1311,156
2019,2,1001061,2604,956,482
2019,2,1001059,24,12,0
2019,2,1001058,2795,1603,14
2019,2,1001057,1758,1033,280
2019,2,1001056,570,402,0
2019,2,1001055,55,25,0
2019,2,1001054,642,204,106
2019,2,1001053,519,145,145
2019,2,1001052,2197,1635,249
2019,2,1001051,5095,2020,399
2019,2,1001050,2611,1363,199
2019,2,1001049,2655,1225,0
2019,2,1001048,1759,1359,1
2019,2,1001047,1069,667,0
2019,2,1001046,3147,2577,85
2019,2,1001045,1176,678,0
2019,2,1001044,1858,977,0
2019,2,1001043,1812,851,18
2019,2,1001042,575,319,0
